id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,COMPUTER SCIENCE ILLUMINATED,Nell Dale ,CSE,2020,7TH,9781284155617,JONES & BARTLETT,1,US$ 85,,https://www.jblearning.com/catalog/productdetails/9781284155617,
,Computer Simulation,Osais,CSE,2018,,9781498726825,Chapman And Hall/Crc,1,BP 120,,https://www.routledge.com/Computer-Simulation-A-Foundational-Approach-Using-Python/Osais/p/book/9781498726825,
,COMPUTER-AIDED POWER SYSTEM ANALYSIS , Natarajan,CSE,2019,,9780367270209,T&F/INDIA,1,,Rs. 3495,https://www.routledge.com/Computer-Aided-Power-System-Analysis/Natarajan/p/book/9780824706999,
,Cryptography In Constant Parallel Time,Benny Applebaum,CSE,2020,,9783662600054,Springer Nature (Sie),1,,Rs. 3195,https://www.springer.com/in/book/9783642173660,
,CYBERCRIME AND DIGITAL DEVIANCE,GRAHAM,CSE,2020,1ST,9780815376316,T&F/ROUTLEDGE,1,BP 38.99,,https://www.routledge.com/Cybercrime-and-Digital-Deviance/Graham-Smith/p/book/9780815376316,
,CYBERSECURITY: PROTECTING CRITICAL INFRASTRUCTURES FROM CYBER ATTACK AND CYBER WARFARE,JOHNSON THOMAS A,CSE,2019,,9780367240387,CRC PRESS,1,,Rs. 1995,https://www.routledge.com/Cybersecurity-Protecting-Critical-Infrastructures-from-Cyber-Attack-and/Johnson/p/book/9780367599362,
,DATA ANALYSIS FOR CONTINUOUS SCHOOL IMPROVEMENT,Victoria L. Bernhardt,CSE,2018,4TH,9781138294622,T&F/ROUTLEDGE,1,BP 38.99,,https://www.routledge.com/Data-Analysis-for-Continuous-School-Improvement/Bernhardt/p/book/9781138294622,
,DATA ANALYTICS APPLICATIONS IN GAMING AND ENTERTAINMENT,Günter Wallner,CSE,2019,1ST,9781138104433,T&F/CRC,1,BP 99.99,,https://www.routledge.com/Data-Analytics-Applications-in-Gaming-and-Entertainment/Wallner/p/book/9781138104433,
,Data Complexity In Pattern Recognition,Mitra Basu,CSE,2020,,9781447174585,Springer Nature (Sie),1,,Rs. 3795,https://www.springer.com/in/book/9781846281716,
,DATA FUSION IN WIRELESS SENSOR NETWORKS: A STATISTICAL SIGNAL PROCESSING PERSPECTIVE,Domenico Ciuonzo and Pierluigi Salvo Rossi,CSE,2019,,9781785615849,IET PUBLISHING,1,BP 115,,https://shop.theiet.org/data-fusion-in-wireless-sensor-networks,
