id,title,author,subject,year_of_publication,edition,ISBN,publisher,seller,price_foreign_currency,price_indian_currency,link,medium
,Using Positive Psychology Every Day: Learning How to Flourish,BOHLMEIJER,HSS,2021,1,9780815362234,Routledge,4,19.99,2080.959,http://www.routledge.com/9780815362234,
,UX on the Go: A Flexible Guide to User Experience Design,MARA,HSS,2021,1,9780367228620,Routledge,4,32.99,3434.259,http://www.routledge.com/9780367228620,
,Václav Trojan: Music Composition in Czech Animated Films,BELLANO,HSS,2021,1,9780815358527,CRC Press,4,52.99,5516.259,http://www.routledge.com/9780815358527,
,Value Dominant Logic: Helping Individuals and Their Companies to Succeed,MAHAJAN,HSS,2021,1,9780367030575,Productivity Pr,4,32.99,3434.259,http://www.routledge.com/9780367030575,
,Vanguardism: Ideology and Organization in Totalitarian Politics,GRAY,HSS,2021,1,9780367331665,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367331665,
,Variations and Variation Technique in the Music of Chopin: ,CHECHLI SKA,HSS,2021,1,9780367661113,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367661113,
,Variedades de la lengua española: ,MORENO-FERNANDEZ,HSS,2021,1,9781138385955,Routledge,4,32.99,3434.259,http://www.routledge.com/9781138385955,
,Veneration to the Elders: SIVAKO¿YACARYA’S VA¿¿ARADHANE,Shankar D.A.,HSS,2021,1,9780367676216,Routledge,4,120,12492,http://www.routledge.com/9780367676216,
,Venus in the Dark: Blackness and Beauty in Popular Culture,HOBSON,HSS,2021,2,9781138237629,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138237629,
,Vertical Urbanism: Designing Compact Cities in China,Lin Zhongjie ,HSS,2021,1,9780367591595,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367591595,
,Victimhood in American Narratives of the War in Vietnam: ,MUSIA,HSS,2021,1,9780367438036,Routledge,4,120,12492,http://www.routledge.com/9780367438036,
,Victorian Contagion: Risk and Social Control in the Victorian Literary Imagination,CHEN,HSS,2021,1,9780367360641,Routledge,4,120,12492,http://www.routledge.com/9780367360641,
,"Victorian Coral Islands of Empire, Mission, and the Boys’ Adventure Novel: ",ELLERAY,HSS,2021,1,9780367235505,Routledge,4,120,12492,http://www.routledge.com/9780367235505,
,Victorian Culture and the Origin of Disciplines: ,LIGHTMAN,HSS,2021,1,9780367228422,Routledge,4,120,12492,http://www.routledge.com/9780367228422,
,"Victorian Poetry: Poetry, Poetics and Politics",ARMSTRONG,HSS,2021,2,9780415525886,Routledge,4,150,15615,http://www.routledge.com/9780415525886,
,Victorians and Their Animals: Beast on a Leash,Ayres Brenda,HSS,2021,1,9780367664053,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367664053,
,Video Field Production and Editing: ,COMPESI,HSS,2021,8,9781138584563,Routledge,4,59.99,6244.959,http://www.routledge.com/9781138584563,
,Video Production Techniques: Theory and Practice from Concept to Screen,DIEFENBACH,HSS,2021,2,9781138484566,Routledge,4,42.99,4475.259,http://www.routledge.com/9781138484566,
,Video Production: Disciplines and Techniques,FOUST,HSS,2021,12,9781138051812,Routledge,4,68.99,7181.859,http://www.routledge.com/9781138051812,
,"Videogames, Identity and Digital Subjectivity: ",GALLAGHER,HSS,2021,1,9780367885359,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367885359,
,Vietnamese: An Essential Grammar,NGO,HSS,2021,1,9781138210707,Routledge,4,39.99,4162.959,http://www.routledge.com/9781138210707,
,Views on Hindu Dharma by M.K. Gandhi: ,GUPTA,HSS,2021,1,9781138095496,Routledge,4,120,12492,http://www.routledge.com/9781138095496,
,Violence from Slavery to #BlackLivesMatter: African American History and Representation,Dix Andrew ,HSS,2021,1,9780367359317,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367359317,
,Virginia Woolf’s Good Housekeeping Essays: ,REYNIER,HSS,2021,1,9780367666125,Routledge,4,36.99,3850.659,http://www.routledge.com/9780367666125,
,Virtual Reality Filmmaking: Techniques & Best Practices for VR Filmmakers,TRICART,HSS,2021,1,9781138233966,Routledge,4,39.99,4162.959,http://www.routledge.com/9781138233966,
,Virtue Ethics in Social Work Practice: ,HUGMAN,HSS,2021,1,9780367434342,Routledge,4,34.99,3642.459,http://www.routledge.com/9780367434342,
,Virtue Ethics: A Contemporary Introduction,VAN ZYL,HSS,2021,1,9780415836166,Routledge,4,32.99,3434.259,http://www.routledge.com/9780415836166,
,"Virtue, Narrative, and Self: Explorations of Character in the Philosophy of Mind and Action",Ulatowski Joseph ,HSS,2021,1,9780367418205,Routledge,4,120,12492,http://www.routledge.com/9780367418205,
,Visible Learning Guide to Student Achievement: Schools Edition,HATTIE,HSS,2021,1,9780815367246,Routledge,4,24.99,2601.459,http://www.routledge.com/9780815367246,
,Visual Character Development in Film and Television: Your Character is Your Canvas,HANLY,HSS,2021,1,9781138186538,Routledge,4,34.99,3642.459,http://www.routledge.com/9781138186538,
,Visual Representations in Science: Concept and Epistemology,MOSSNER,HSS,2021,1,9780367487058,Routledge,4,35.99,3746.559,http://www.routledge.com/9780367487058,
,Visual-Gestural Communication: A Workbook in Nonverbal Expression and Reception,CONLEY,HSS,2021,1,9781138605862,Routledge,4,29.99,3121.959,http://www.routledge.com/9781138605862,
